NP_ID,Neighborhood,Ethnicity,Households
15,Parkrose-Argay,Single-Person,1719
15,Parkrose-Argay,Households with Children,1430
15,Parkrose-Argay,Foreign-Born Individuals,2569
15,Parkrose-Argay,Persons Exp-Disabilities,1517
15,Parkrose-Argay,Persons 65 and Older,65
16,Pleasant,Households,5107
16,Pleasant,Single-Person,883
16,Pleasant,Households with Children,2105
16,Pleasant,Foreign-Born Individuals,3685
16,Pleasant,Persons Exp-Disabilities,2213
16,Pleasant,Persons 65 and Older,1687
17,Raleigh,Households,6010
17,Raleigh,Single-Person,1768
17,Raleigh,Households with Children,1823
17,Raleigh,Foreign-Born Individuals,1257
17,Raleigh,Persons Exp-Disabilities,1397
17,Raleigh,Persons 65 and Older,2503
18,Roseway-Cully,Households,15132
18,Roseway-Cully,Single-Person,4641
18,Roseway-Cully,Households with Children,4053
18,Roseway-Cully,Foreign-Born Individuals,5335
18,Roseway-Cully,Persons Exp-Disabilities,4197
18,Roseway-Cully,Persons 65 and Older,3919
19,Sellwood-Moreland-Brooklyn,Households,8316
19,Sellwood-Moreland-Brooklyn,Single-Person,3069
19,Sellwood-Moreland-Brooklyn,Households with Children,1852
19,Sellwood-Moreland-Brooklyn,Foreign-Born Individuals,1131
19,Sellwood-Moreland-Brooklyn,Persons Exp-Disabilities,2180
19,Sellwood-Moreland-Brooklyn,Persons 65 and Older,1909
20,South Hill,Households,7224
20,South Hill,Single-Person,2770
20,South Hill,Households with Children,921
20,South Hill,Foreign-Born Individuals,1555
20,South Hill,Persons Exp-Disabilities,1077
20,South Hill,Persons 65 and Older,2138
21,St. John,Households,10685
21,St. John,Single-Person,3035
21,St. John,Households with Children,2816
21,St. John,Foreign-Born Individuals,4238
21,St. John,Persons Exp-Disabilities,4320
21,St. John,Persons 65 and Older,65
22,Tryon Terwilliger,Households,3707
22,Tryon Terwilliger,Single-Person,879
22,Tryon Terwilliger,Households with Children,1099
22,Tryon Terwilliger,Foreign-Born Individuals,796
22,Tryon Terwilliger,Persons Exp-Disabilities,548
22,Tryon Terwilliger,Persons 65 and Older,1207
23,West,Households,5753
23,West,Single-Person,1701
23,West,Households with Children,1418
23,West,Foreign-Born Individuals,1527
23,West,Persons Exp-Disabilities,1055
23,West,Persons 65 and Older,1900
24,Woodstock,Households,10573
24,Woodstock,Single-Person,3305
24,Woodstock,Households with Children,2341
24,Woodstock,Foreign-Born Individuals,2163
24,Woodstock,Persons Exp-Disabilities,2954
24,Woodstock,Persons 65 and Older,65
